parameters,count,mean,std,min,25%,50%,75%,max
theta.39,4000.0,1.2424284467622029,0.4780400173105674,-0.5543452741878926,0.9114551212810291,1.244950685409404,1.5646292789444918,2.7878678724522157
theta.40,4000.0,0.5377688312122744,0.4726150753204667,-1.1900296847397485,0.21987781452270216,0.527317107273414,0.851543042308128,2.4460688948406535
theta.41,4000.0,-0.44410998700781873,0.420083683582093,-2.0631949288999896,-0.7336217132464101,-0.4552900347167167,-0.15920140630585128,1.1874825519194674
theta.42,4000.0,0.6485197543025977,0.44286422834800826,-0.9263023986777066,0.35025645070697387,0.651069212617452,0.9469744415793581,2.4587091060084343
theta.43,4000.0,0.7539303685289204,0.47245132548851104,-1.0758433033189856,0.43181292320822445,0.74527285702332,1.0692137964610517,2.491687168342733
theta.44,4000.0,0.05537405952282471,0.4286029266816296,-1.4946145202558603,-0.2386401108371976,0.04974917785338958,0.332642727484749,1.5953304245382678
theta.45,4000.0,0.25941803857878193,0.45373679180497944,-2.1221893723019285,-0.034357513705927295,0.26195838256508586,0.5473198484610302,2.1555562294427424
theta.46,4000.0,-0.5657377764627679,0.42883160458345776,-2.1777121117432627,-0.852029610699044,-0.5642581461677308,-0.2860495112360588,0.9790001517023388
theta.47,4000.0,-0.06191661225899496,0.4676265115247296,-1.7602632593879102,-0.36888365617657426,-0.06670795911755456,0.2432865776946901,1.6031713247608264
theta.48,4000.0,0.6021934241541488,0.4900390346584772,-0.9868799206833672,0.271288322945347,0.599663640296294,0.9370859322203192,2.1817206837957097
theta.49,4000.0,0.09195752458626788,0.4290351161066536,-1.3343447884189057,-0.20139422516481365,0.08441578204099211,0.3807841743782375,1.5223528200171914
theta.50,4000.0,1.1626356504551,0.473903769382616,-0.34615535422805727,0.8350816306455399,1.1463723934681744,1.4867540294536963,2.810834348116475
theta.51,4000.0,0.7021247637964766,0.4887381409757283,-1.0017269987021094,0.38074210646434303,0.6943036559259723,1.0190246008293937,2.665831466525292
theta.52,4000.0,-0.5351614295164903,0.39503214618635424,-2.090894362257185,-0.8045390422544388,-0.5358850935971204,-0.2655836415812699,0.8578436556600818
theta.53,4000.0,0.618811713621941,0.4569334968418389,-1.1409526978347622,0.295622083357445,0.6234413100747043,0.9274084714418163,2.4281538362555684
theta.54,4000.0,-0.506502487451452,0.4455189965126847,-1.9219214761818812,-0.8028867091485197,-0.5146046641892161,-0.2199383811980611,1.2226210940739508
theta.55,4000.0,1.2441418542344789,0.47307898010575783,-0.3821775322445854,0.9235706051360846,1.2297380619653666,1.5645662723605716,2.81115412288152
theta.56,4000.0,1.4381719614441868,0.4936777157965972,-0.5440123408567569,1.0972030587546922,1.4329779221992016,1.7823285376190467,2.947976214372116
theta.57,4000.0,-0.7839787580924913,0.4302409087199315,-2.368899581783682,-1.0682762000587451,-0.7767410653561722,-0.48827820372154007,0.6533199615328513
theta.58,4000.0,-0.31106723135305886,0.45074954813706564,-1.8149979125587372,-0.6152448089611695,-0.31114318598875057,-0.0012173588555513398,1.4412285085541157
theta.59,4000.0,0.2843046615785288,0.4682302676550007,-1.5910287084758759,-0.035444006628923864,0.28005632733561275,0.5992464292444992,1.7709103823400791
theta.60,4000.0,-0.21790774599783863,0.43088820195035726,-1.9314243707960408,-0.4991851674426451,-0.21517276352368836,0.07787263989877063,1.4458861743813374
theta.61,4000.0,2.5728609619921565,0.4759990328081571,0.8108906602194695,2.2701417267319037,2.5800509070068145,2.8850746817794053,4.445537158736836
theta.62,4000.0,0.12983062981650378,0.4575989541510243,-1.3592189808904902,-0.17247977104359652,0.12082889633146587,0.42427018059774635,1.9469204587650832
theta.63,4000.0,0.7096843693377286,0.4711449719893539,-0.7573738885219512,0.3768014814083512,0.7050462248145574,1.0376004687475475,2.2330420065529406
theta.64,4000.0,-0.6767319358616756,0.4539994470597167,-2.0301640695557164,-0.9811084535906793,-0.6912020923547131,-0.3837610882729472,1.1248501316302593
theta.65,4000.0,-1.327492363054766,0.4132803369773822,-2.7794693016017766,-1.6008188573465905,-1.334886481493171,-1.0646732216654515,0.2365201231900333
